Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
Glycolysis and Gluconeogenesis;56;14;12;1,36120;7,3518e-05;0,00068994;0,0039349;0;0,00;0,004999224;0,04691592;0,2675732;P1;"EC0002;EC0003;EC0004;EC0008;EC00036;EC00037;EC00039";Acid;Female;8,815750808110492
Aminosugars metabolism;69;23;12;1,92840;1,5212e-04;0,00098105;0,0039359;0;0,00;0,010192040;0,06573035;0,2675732;P2;"EC0004;EC00016;EC00036;EC00037;EC00043;EC00084;EC00096;EC000206";Acid;Female;6,222775357809583
Sialic acid metabolism;89;26;19;1,24780;4,3952e-04;0,00356010;0,0039397;0;0,00;0,029008320;0,23496660;0,2675732;P3;"EC00016;EC0008;EC00043;EC00084;EC00036;EC00037";Acid;Female;15,226799166533098
Vitamin H (biotin) metabolism;7;2;2;0,34030;1,3585e-03;0,03321100;0,0039518;0;0,00;0,088302500;1,00000000;0,2675732;P4;"EC0002;EC0003;EC000246";Acid;Female;5,877167205406994
Alkaloid biosynthesis II;16;4;2;0,45373;5,0043e-03;0,06180200;0,0040003;1;0,01;0,320275200;1,00000000;0,2675732;P5;"EC0002;EC0003;EC000295";Acid;Female;4,407907786569105
Purine metabolism;80;18;6;2,49550;6,6153e-03;0,02387900;0,0040220;0;0,00;0,416763900;1,00000000;0,2675732;P6;"EC0002;EC0003;EC0004;EC00048;EC00049;EC00098;EC000180";Acid;Female;2,404327790022040
Pentose phosphate pathway;31;10;5;0,90746;7,1192e-03;0,04711900;0,0040288;2;0,02;0,441390400;1,00000000;0,2675732;P7;"EC0002;EC0003;EC00036;EC00037";Acid;Female;5,509884733211381
Methionine and cysteine metabolism;73;15;5;2,04180;9,5754e-03;0,03665700;0,0040620;1;0,01;0,584099400;1,00000000;0,2675732;P8;"EC0002;EC0003;EC0004;EC00078;EC000169;EC000257";Acid;Female;2,448819668919581
Vitamin E metabolism;26;1;1;0,22687;1,2566e-02;0,20899000;0,0041030;0;0,00;0,753960000;1,00000000;0,2675732;P9;"EC0002;EC0003";Acid;Female;4,407810640454886
Carbon fixation;10;4;2;0,68060;2,1240e-02;0,13398000;0,0042241;1;0,01;1,000000000;1,00000000;0,2675732;P10;"EC0004;EC00036;EC00037";Acid;Female;2,938583602703497
Glycosphingolipid biosynthesis - globoseries;17;7;4;0,68060;2,1240e-02;0,13398000;0,0042241;4;0,04;1,000000000;1,00000000;0,2675732;P11;"EC00016;EC00043;EC0008";Acid;Female;5,877167205406994
Vitamin B1 (thiamin) metabolism;22;4;2;0,68060;2,1240e-02;0,13398000;0,0042241;2;0,02;1,000000000;1,00000000;0,2675732;P12;"EC0002;EC0003;EC0004";Acid;Female;2,938583602703497
Tryptophan metabolism;78;10;3;1,24780;2,6001e-02;0,10983000;0,0042922;1;0,01;1,000000000;1,00000000;0,2675732;P13;"EC0002;EC0003;EC0008;EC000183";Acid;Female;2,404231447347331
Pyrimidine metabolism;69;13;4;1,92840;3,2098e-02;0,10459000;0,0043811;3;0,03;1,000000000;1,00000000;0,2675732;P14;"EC0002;EC0003;EC0004;EC00016;EC000120";Acid;Female;2,074258452603194
